name;quess;steps;game_length;game_time
1000;77;1;00:00:02;16.01.2025 15:56:22
222;97;1;00:00:02;25.01.2025 10:06:36
CHEATER1;36;1;00:00:02;16.01.2025 15:28:49
silks;93;1;00:00:02;16.01.2025 14:55:03
sss;91;1;00:00:02;16.01.2025 14:34:40
dsfsd;74;1;00:00:03;16.01.2025 14:40:06
sil123;94;1;00:00:03;16.01.2025 14:35:18
sill;72;1;00:00:03;16.01.2025 14:28:48
silver;72;1;00:00:03;16.01.2025 14:28:55
silver;80;1;00:00:04;16.01.2025 14:19:27
Lammas all paremal nurgas;86;1;00:00:05;16.01.2025 09:08:00
silks1;56;1;00:00:06;16.01.2025 14:55:15
12345;98;1;00:00:10;25.01.2025 10:00:18
Marko ootas;97;1;00:02:08;15.01.2025 22:39:54
CHEATER;14;2;00:00:05;16.01.2025 15:20:15
Silver1;3;2;00:00:10;16.01.2025 14:33:09
Silver1;3;2;00:00:10;16.01.2025 14:33:13
Aus Silver;20;4;00:00:13;16.01.2025 14:22:16
Marko;96;5;00:00:14;15.01.2025 22:36:05
test26.01;74;5;00:00:17;26.01.2025 20:20:24
kaheksas;33;6;00:00:14;25.01.2025 21:00:36
Katse123;66;6;00:00:19;25.01.2025 23:23:10
Marko ausalt;37;8;00:00:18;15.01.2025 22:42:45
TEST!"#;36;8;00:00:21;26.01.2025 00:16:16
test2;87;8;00:00:21;26.01.2025 20:21:47
nr54;54;8;00:00:25;25.01.2025 23:56:43
test123333;59;8;00:00:25;26.01.2025 20:31:50
viimane;6;9;00:00:16;26.01.2025 00:21:01
